Ticker,close,date,high,low,month,volume,daily_returns,cumulative_returns
BEL,139.2,2023-10-03 05:30:00,140.6,137.2,2023-10,19010910,,
BEL,138.85,2023-10-04 05:30:00,139.15,136.55,2023-10,14912053,-0.0025143678160919336,-0.00251
BEL,138.95,2023-10-05 05:30:00,141.35,138.1,2023-10,15996620,0.0007202016564638036,-0.0018
BEL,139.0,2023-10-06 05:30:00,140.5,138.65,2023-10,4987359,0.0003598416696655171,-0.00144
BEL,135.75,2023-10-09 05:30:00,137.6,135.05,2023-10,10489249,-0.023381294964028743,-0.02478
BEL,139.95,2023-10-10 05:30:00,141.0,136.5,2023-10,15593722,0.030939226519336893,0.00539
BEL,137.75,2023-10-11 05:30:00,140.5,137.5,2023-10,10778916,-0.01571989996427292,-0.01042
BEL,138.2,2023-10-12 05:30:00,138.7,137.2,2023-10,7567439,0.0032667876588021727,-0.00718
BEL,137.45,2023-10-13 05:30:00,138.2,136.3,2023-10,8303230,-0.00542691751085389,-0.01257
BEL,137.4,2023-10-16 05:30:00,137.9,136.55,2023-10,7785480,-0.00036376864314280333,-0.01293
BEL,138.55,2023-10-17 05:30:00,138.9,137.5,2023-10,6076896,0.008369723435225573,-0.00467
BEL,137.05,2023-10-18 05:30:00,138.95,136.4,2023-10,6806231,-0.01082641645615301,-0.01545
BEL,137.0,2023-10-19 05:30:00,137.2,135.05,2023-10,7775836,-0.00036483035388557017,-0.0158
BEL,134.2,2023-10-20 05:30:00,136.9,133.5,2023-10,8982112,-0.020437956204379604,-0.03592
BEL,132.7,2023-10-23 05:30:00,135.9,131.4,2023-10,19333777,-0.011177347242920965,-0.0467
BEL,131.2,2023-10-25 05:30:00,134.65,129.25,2023-10,10225867,-0.01130369253956287,-0.05747
BEL,128.85,2023-10-26 05:30:00,130.2,127.0,2023-10,18167694,-0.017911585365853577,-0.07435
BEL,132.2,2023-10-27 05:30:00,132.85,129.25,2023-10,8761931,0.02599922390376408,-0.05029
BEL,131.95,2023-10-30 05:30:00,133.95,130.8,2023-10,9052085,-0.0018910741301059186,-0.05208
BEL,133.25,2023-10-31 05:30:00,133.65,130.75,2023-10,8098744,0.009852216748768461,-0.04274
BEL,132.4,2023-11-01 05:30:00,134.55,132.05,2023-11,10431945,-0.006378986866791725,-0.04885
BEL,134.75,2023-11-02 05:30:00,135.0,133.3,2023-11,4885035,0.017749244712990997,-0.03197
BEL,135.95,2023-11-03 05:30:00,137.0,134.75,2023-11,9154983,0.008905380333951607,-0.02335
BEL,137.65,2023-11-06 05:30:00,138.0,136.0,2023-11,7070089,0.012504597278411245,-0.01114
BEL,138.05,2023-11-07 05:30:00,138.95,136.7,2023-11,8587321,0.002905920813657925,-0.00826
BEL,140.4,2023-11-08 05:30:00,141.15,137.7,2023-11,9755483,0.017022817819630554,0.00862
BEL,137.95,2023-11-09 05:30:00,139.95,137.6,2023-11,5481774,-0.017450142450142536,-0.00898
BEL,138.8,2023-11-10 05:30:00,139.1,137.05,2023-11,5781314,0.006161652772743942,-0.00287
BEL,139.6,2023-11-12 05:30:00,140.3,139.3,2023-11,1362464,0.0057636887608067955,0.00287
BEL,143.4,2023-11-13 05:30:00,144.2,139.05,2023-11,20245049,0.027220630372492893,0.03017
BEL,143.05,2023-11-15 05:30:00,145.4,142.5,2023-11,11440473,-0.0024407252440724614,0.02766
BEL,142.6,2023-11-16 05:30:00,144.35,142.2,2023-11,11453235,-0.0031457532331353733,0.02443
BEL,146.1,2023-11-17 05:30:00,146.5,141.8,2023-11,13496261,0.024544179523141585,0.04957
BEL,143.85,2023-11-20 05:30:00,146.75,143.15,2023-11,7741502,-0.015400410677618104,0.03341
BEL,142.85,2023-11-21 05:30:00,144.55,142.25,2023-11,9972235,-0.006951685783802564,0.02622
BEL,141.85,2023-11-22 05:30:00,143.45,140.15,2023-11,7445272,-0.007000350017500878,0.01904
BEL,139.35,2023-11-23 05:30:00,142.55,139.1,2023-11,13138745,-0.017624250969333843,0.00108
BEL,140.35,2023-11-24 05:30:00,142.15,137.35,2023-11,19614754,0.007176175098672299,0.00826
BEL,141.3,2023-11-28 05:30:00,141.8,140.4,2023-11,8595693,0.006768792304951976,0.01509
BEL,141.0,2023-11-29 05:30:00,142.65,140.5,2023-11,14680789,-0.002123142250530896,0.01293
BEL,145.9,2023-11-30 05:30:00,146.35,140.75,2023-11,27591484,0.034751773049645385,0.04813
BEL,147.45,2023-12-01 05:30:00,150.3,146.75,2023-12,34466616,0.010623714873200685,0.05927
