Ticker,close,date,high,low,month,volume,daily_returns,cumulative_returns
ICICIBANK,940.3,2023-10-03 05:30:00,951.6,939.0,2023-10,11131636,,
ICICIBANK,930.05,2023-10-04 05:30:00,935.5,925.0,2023-10,17334739,-0.01090077634797404,-0.0109
ICICIBANK,940.85,2023-10-05 05:30:00,943.95,934.55,2023-10,10478856,0.011612278909736151,0.00058
ICICIBANK,945.2,2023-10-06 05:30:00,946.55,938.0,2023-10,6355755,0.004623478769198108,0.00521
ICICIBANK,938.6,2023-10-09 05:30:00,942.05,936.3,2023-10,6725306,-0.006982649174777866,-0.00181
ICICIBANK,951.2,2023-10-10 05:30:00,957.5,940.35,2023-10,11452715,0.01342424888131255,0.01159
ICICIBANK,953.1,2023-10-11 05:30:00,962.05,950.75,2023-10,12233117,0.0019974768713204583,0.01361
ICICIBANK,954.25,2023-10-12 05:30:00,960.1,948.4,2023-10,7836818,0.0012065890252859202,0.01484
ICICIBANK,951.3,2023-10-13 05:30:00,957.4,944.55,2023-10,6650442,-0.0030914330626146125,0.0117
ICICIBANK,951.4,2023-10-16 05:30:00,954.85,946.15,2023-10,5763024,0.00010511931041734535,0.0118
ICICIBANK,953.9,2023-10-17 05:30:00,960.95,951.5,2023-10,7747527,0.0026277065377338094,0.01446
ICICIBANK,943.75,2023-10-18 05:30:00,950.65,939.1,2023-10,12000153,-0.01064052835727014,0.00367
ICICIBANK,935.75,2023-10-19 05:30:00,945.0,934.0,2023-10,8612676,-0.008476821192052952,-0.00484
ICICIBANK,932.75,2023-10-20 05:30:00,940.0,930.0,2023-10,6586576,-0.0032059845044082325,-0.00803
ICICIBANK,929.95,2023-10-23 05:30:00,944.8,925.4,2023-10,11856890,-0.0030018761726078314,-0.01101
ICICIBANK,916.1,2023-10-25 05:30:00,933.8,911.4,2023-10,12593434,-0.014893273831926512,-0.02574
ICICIBANK,908.65,2023-10-26 05:30:00,916.6,899.0,2023-10,21693345,-0.00813229996725251,-0.03366
ICICIBANK,912.75,2023-10-27 05:30:00,918.15,911.3,2023-10,8645505,0.004512188411379459,-0.0293
ICICIBANK,924.9,2023-10-30 05:30:00,926.3,908.2,2023-10,7687791,0.0133114215283483,-0.01638
ICICIBANK,915.35,2023-10-31 05:30:00,931.0,914.1,2023-10,17211107,-0.010325440588171642,-0.02653
ICICIBANK,914.05,2023-11-01 05:30:00,917.6,909.3,2023-11,12927203,-0.0014202217730923117,-0.02792
ICICIBANK,919.95,2023-11-02 05:30:00,924.8,912.8,2023-11,9747311,0.006454789125321492,-0.02164
ICICIBANK,933.8,2023-11-03 05:30:00,934.5,926.8,2023-11,7146961,0.015055166041632706,-0.00691
ICICIBANK,945.45,2023-11-06 05:30:00,947.75,937.4,2023-11,10338367,0.012475904904690527,0.00548
ICICIBANK,948.1,2023-11-07 05:30:00,950.45,930.45,2023-11,15704942,0.0028028980908560985,0.0083
ICICIBANK,935.75,2023-11-08 05:30:00,948.45,934.1,2023-11,17606074,-0.013026052104208485,-0.00484
ICICIBANK,937.35,2023-11-09 05:30:00,942.35,933.0,2023-11,9406117,0.001709858402351161,-0.00314
ICICIBANK,938.6,2023-11-10 05:30:00,941.45,932.4,2023-11,9560455,0.0013335467008055435,-0.00181
ICICIBANK,942.35,2023-11-12 05:30:00,943.2,939.6,2023-11,1561479,0.0039953121670572855,0.00218
ICICIBANK,934.45,2023-11-13 05:30:00,940.9,932.0,2023-11,11470096,-0.008383297076457796,-0.00622
ICICIBANK,941.1,2023-11-15 05:30:00,944.4,938.75,2023-11,19492138,0.007116485633260172,0.00085
ICICIBANK,936.0,2023-11-16 05:30:00,946.2,934.0,2023-11,19706373,-0.005419190309212674,-0.00457
ICICIBANK,921.85,2023-11-17 05:30:00,938.4,920.15,2023-11,10956653,-0.015117521367521314,-0.01962
ICICIBANK,921.45,2023-11-20 05:30:00,926.75,917.5,2023-11,10562301,-0.0004339100721375555,-0.02005
ICICIBANK,926.1,2023-11-21 05:30:00,928.05,922.0,2023-11,8989572,0.0050463942699006115,-0.0151
ICICIBANK,922.75,2023-11-22 05:30:00,925.2,914.75,2023-11,12197979,-0.0036173199438506165,-0.01866
ICICIBANK,923.0,2023-11-23 05:30:00,925.35,918.5,2023-11,5534614,0.00027092928745586775,-0.0184
ICICIBANK,929.4,2023-11-24 05:30:00,930.4,920.2,2023-11,7452002,0.0069339111592632285,-0.01159
ICICIBANK,925.5,2023-11-28 05:30:00,931.05,921.7,2023-11,14231987,-0.004196255648805658,-0.01574
ICICIBANK,939.6,2023-11-29 05:30:00,941.1,926.0,2023-11,11680078,0.015235008103727798,-0.00074
ICICIBANK,934.95,2023-11-30 05:30:00,940.85,928.2,2023-11,23950292,-0.004948914431673002,-0.00569
ICICIBANK,946.7,2023-12-01 05:30:00,952.0,933.0,2023-12,16986046,0.012567516979517634,0.00681
ICICIBANK,991.2,2023-12-04 05:30:00,994.85,961.4,2023-12,33131257,0.04700538713425573,0.05413
ICICIBANK,1013.45,2023-12-05 05:30:00,1015.75,995.05,2023-12,31378461,0.02244753833736879,0.07779
ICICIBANK,1003.25,2023-12-06 05:30:00,1016.25,1000.25,2023-12,18786590,-0.010064630716858258,0.06695
ICICIBANK,999.0,2023-12-07 05:30:00,1002.2,988.15,2023-12,11841945,-0.0042362322452030865,0.06243
ICICIBANK,1010.85,2023-12-08 05:30:00,1012.85,993.25,2023-12,16116363,0.011861861861861778,0.07503
ICICIBANK,1017.1,2023-12-11 05:30:00,1020.0,1004.65,2023-12,11714606,0.006182915368254438,0.08168
ICICIBANK,1015.7,2023-12-12 05:30:00,1021.0,1008.6,2023-12,12380856,-0.0013764624913971124,0.08019
ICICIBANK,1013.9,2023-12-13 05:30:00,1020.7,1009.2,2023-12,15887040,-0.0017721768238654345,0.07827
ICICIBANK,1033.65,2023-12-14 05:30:00,1040.0,1021.25,2023-12,16317672,0.01947923858368683,0.09928
ICICIBANK,1037.4,2023-12-15 05:30:00,1043.7,1025.7,2023-12,14306067,0.0036279204759832595,0.10326
ICICIBANK,1021.45,2023-12-18 05:30:00,1029.95,1018.0,2023-12,8592711,-0.015374975901291776,0.0863
ICICIBANK,1015.45,2023-12-19 05:30:00,1025.5,1012.6,2023-12,10094256,-0.005874002643301179,0.07992
ICICIBANK,1006.65,2023-12-20 05:30:00,1022.0,1002.0,2023-12,16490281,-0.0086661086217934,0.07056
ICICIBANK,1004.4,2023-12-21 05:30:00,1010.9,989.2,2023-12,18064916,-0.002235136343316957,0.06817
ICICIBANK,994.3,2023-12-22 05:30:00,1009.55,991.6,2023-12,20881976,-0.010055754679410667,0.05743
ICICIBANK,995.1,2023-12-26 05:30:00,997.5,989.9,2023-12,14339699,0.0008045861410037602,0.05828
ICICIBANK,1002.25,2023-12-27 05:30:00,1004.9,992.0,2023-12,12996468,0.0071852075168323815,0.06588
ICICIBANK,1005.9,2023-12-28 05:30:00,1011.7,999.1,2023-12,24915990,0.0036418059366425393,0.06976
ICICIBANK,996.6,2023-12-29 05:30:00,1008.55,993.7,2023-12,12280140,-0.009245451834178353,0.05987
ICICIBANK,999.4,2024-01-01 05:30:00,1004.85,991.0,2024-01,7683792,0.0028095524784266246,0.06285
ICICIBANK,982.25,2024-01-02 05:30:00,997.65,980.25,2024-01,16263825,-0.017160296177706647,0.04461
ICICIBANK,984.05,2024-01-03 05:30:00,988.0,975.1,2024-01,16826752,0.0018325273606514259,0.04653
