Ticker,close,date,high,low,month,volume,daily_returns,cumulative_returns
POWERGRID,199.55,2023-10-03 05:30:00,200.0,196.9,2023-10,10830728,,
POWERGRID,199.0,2023-10-04 05:30:00,199.4,195.4,2023-10,14120040,-0.0027562014532699353,-0.00276
POWERGRID,196.6,2023-10-05 05:30:00,199.5,195.35,2023-10,14575590,-0.012060301507537674,-0.01478
POWERGRID,197.05,2023-10-06 05:30:00,197.45,194.85,2023-10,12857229,0.002288911495422319,-0.01253
POWERGRID,196.25,2023-10-09 05:30:00,196.9,193.75,2023-10,7853369,-0.004059883278355825,-0.01654
POWERGRID,197.95,2023-10-10 05:30:00,198.55,195.7,2023-10,7440527,0.00866242038216547,-0.00802
POWERGRID,198.5,2023-10-11 05:30:00,199.15,197.35,2023-10,10031916,0.002778479413993562,-0.00526
POWERGRID,200.75,2023-10-12 05:30:00,202.0,197.35,2023-10,21872719,0.01133501259445846,0.00601
POWERGRID,201.8,2023-10-13 05:30:00,202.4,199.3,2023-10,13105921,0.00523038605230397,0.01128
POWERGRID,203.05,2023-10-16 05:30:00,203.85,200.1,2023-10,18336656,0.006194251734390477,0.01754
POWERGRID,207.15,2023-10-17 05:30:00,209.0,202.6,2023-10,19378328,0.020192070918492844,0.03809
POWERGRID,206.5,2023-10-18 05:30:00,208.45,204.0,2023-10,14923328,-0.0031378228336954583,0.03483
POWERGRID,205.8,2023-10-19 05:30:00,207.4,202.2,2023-10,13192888,-0.003389830508474523,0.03132
POWERGRID,202.85,2023-10-20 05:30:00,205.2,200.9,2023-10,22081120,-0.014334305150631721,0.01654
POWERGRID,199.75,2023-10-23 05:30:00,205.15,199.0,2023-10,6988219,-0.015282228247473495,0.001
POWERGRID,199.5,2023-10-25 05:30:00,200.45,197.8,2023-10,16817158,-0.0012515644555695093,-0.00025
POWERGRID,198.95,2023-10-26 05:30:00,200.0,196.3,2023-10,11070090,-0.002756892230576513,-0.00301
POWERGRID,200.95,2023-10-27 05:30:00,201.8,199.15,2023-10,9995487,0.01005277707966834,0.00702
POWERGRID,200.85,2023-10-30 05:30:00,202.2,197.65,2023-10,7679981,-0.0004976362279173197,0.00651
POWERGRID,202.15,2023-10-31 05:30:00,202.95,200.55,2023-10,7474770,0.006472491909385258,0.01303
POWERGRID,200.95,2023-11-01 05:30:00,202.35,200.5,2023-11,5598615,-0.005936186000494725,0.00702
POWERGRID,203.1,2023-11-02 05:30:00,203.65,200.9,2023-11,12924797,0.010699178900223982,0.01779
POWERGRID,204.4,2023-11-03 05:30:00,206.5,203.1,2023-11,8684015,0.006400787789266449,0.0243
POWERGRID,208.2,2023-11-06 05:30:00,208.95,204.95,2023-11,9804415,0.018590998043052753,0.04335
POWERGRID,208.0,2023-11-07 05:30:00,209.1,205.75,2023-11,10730361,-0.0009606147934677622,0.04235
POWERGRID,207.0,2023-11-08 05:30:00,209.6,206.65,2023-11,7435543,-0.004807692307692291,0.03733
