Ticker,close,date,high,low,month,volume,daily_returns,cumulative_returns
TECHM,1216.2,2023-10-03 05:30:00,1230.7,1212.55,2023-10,1622290,,
TECHM,1205.0,2023-10-04 05:30:00,1215.5,1186.05,2023-10,2340603,-0.00920901167571131,-0.00921
TECHM,1205.6,2023-10-05 05:30:00,1223.95,1199.5,2023-10,2497613,0.0004979253112031845,-0.00872
TECHM,1216.9,2023-10-06 05:30:00,1223.0,1205.0,2023-10,1446719,0.009372926343729437,0.00058
TECHM,1212.65,2023-10-09 05:30:00,1227.75,1202.15,2023-10,1451064,-0.0034924808940750562,-0.00292
TECHM,1227.75,2023-10-10 05:30:00,1231.45,1213.0,2023-10,1503359,0.012452067785428511,0.0095
TECHM,1231.6,2023-10-11 05:30:00,1238.9,1222.0,2023-10,1622663,0.0031358175524331955,0.01266
TECHM,1198.75,2023-10-12 05:30:00,1232.0,1189.3,2023-10,2452842,-0.02667262098083789,-0.01435
TECHM,1194.1,2023-10-13 05:30:00,1202.95,1180.0,2023-10,3266079,-0.0038790406673618882,-0.01817
TECHM,1184.6,2023-10-16 05:30:00,1198.25,1180.8,2023-10,2638043,-0.00795578259777241,-0.02598
TECHM,1197.6,2023-10-17 05:30:00,1203.0,1188.45,2023-10,1163897,0.01097416849569477,-0.01529
TECHM,1187.1,2023-10-18 05:30:00,1202.0,1178.05,2023-10,2337078,-0.008767535070140275,-0.02393
TECHM,1172.15,2023-10-19 05:30:00,1185.45,1167.8,2023-10,3107691,-0.012593715777946102,-0.03622
TECHM,1170.7,2023-10-20 05:30:00,1176.0,1148.4,2023-10,2962470,-0.0012370430405664878,-0.03741
TECHM,1155.95,2023-10-23 05:30:00,1170.95,1151.55,2023-10,1203959,-0.012599299564363231,-0.04954
TECHM,1142.15,2023-10-25 05:30:00,1165.9,1136.5,2023-10,1555285,-0.011938232622518252,-0.06089
TECHM,1115.45,2023-10-26 05:30:00,1120.0,1098.15,2023-10,7099401,-0.023376964496782393,-0.08284
TECHM,1120.55,2023-10-27 05:30:00,1125.95,1114.05,2023-10,1382498,0.004572145770765035,-0.07865
TECHM,1126.9,2023-10-30 05:30:00,1138.9,1115.5,2023-10,2255915,0.005666860024095444,-0.07343
TECHM,1133.15,2023-10-31 05:30:00,1137.15,1115.55,2023-10,1194765,0.0055461886591534615,-0.06829
TECHM,1125.1,2023-11-01 05:30:00,1138.0,1119.95,2023-11,1288497,-0.007104090367559657,-0.07491
TECHM,1115.5,2023-11-02 05:30:00,1130.0,1113.8,2023-11,2493118,-0.00853257488223258,-0.0828
TECHM,1133.1,2023-11-03 05:30:00,1136.0,1116.0,2023-11,1108121,0.015777678171223553,-0.06833
TECHM,1142.15,2023-11-06 05:30:00,1144.8,1134.35,2023-11,572330,0.007986938487335893,-0.06089
TECHM,1149.0,2023-11-07 05:30:00,1150.3,1136.55,2023-11,902481,0.005997460928949705,-0.05525
TECHM,1139.15,2023-11-08 05:30:00,1152.85,1137.05,2023-11,806162,-0.00857267188859867,-0.06335
TECHM,1123.95,2023-11-09 05:30:00,1141.0,1117.2,2023-11,6042108,-0.013343282271869428,-0.07585
TECHM,1138.15,2023-11-10 05:30:00,1139.75,1121.5,2023-11,706806,0.012634013968592983,-0.06418
TECHM,1142.15,2023-11-12 05:30:00,1147.15,1140.0,2023-11,86328,0.003514475244914994,-0.06089
TECHM,1131.35,2023-11-13 05:30:00,1142.15,1128.0,2023-11,435537,-0.009455850807687405,-0.06977
TECHM,1173.75,2023-11-15 05:30:00,1178.85,1143.5,2023-11,2816201,0.03747735006850239,-0.0349
TECHM,1207.2,2023-11-16 05:30:00,1214.95,1167.4,2023-11,2294942,0.028498402555910518,-0.0074
TECHM,1202.75,2023-11-17 05:30:00,1213.95,1198.0,2023-11,1176628,-0.0036862160371107233,-0.01106
TECHM,1211.8,2023-11-20 05:30:00,1222.5,1202.75,2023-11,1077366,0.007524423196840546,-0.00362
