Ticker,close,date,high,low,month,volume,daily_returns,cumulative_returns
WIPRO,405.45,2023-10-03 05:30:00,408.1,403.6,2023-10,2864052,,
WIPRO,404.9,2023-10-04 05:30:00,405.45,400.65,2023-10,3452935,-0.0013565174497471855,-0.00136
WIPRO,406.8,2023-10-05 05:30:00,410.4,405.0,2023-10,4062652,0.004692516670782965,0.00333
WIPRO,407.85,2023-10-06 05:30:00,409.8,406.95,2023-10,3182502,0.002581120943952797,0.00592
WIPRO,405.6,2023-10-09 05:30:00,411.0,403.4,2023-10,3015225,-0.005516734093416686,0.00037
WIPRO,407.75,2023-10-10 05:30:00,408.75,406.2,2023-10,2564007,0.005300788954635038,0.00567
WIPRO,421.15,2023-10-11 05:30:00,423.95,409.0,2023-10,9546114,0.03286327406499079,0.03872
WIPRO,417.1,2023-10-12 05:30:00,421.9,414.7,2023-10,5117199,-0.009616526178321205,0.02873
WIPRO,411.05,2023-10-13 05:30:00,414.4,409.05,2023-10,5457027,-0.014504914888516018,0.01381
WIPRO,410.2,2023-10-16 05:30:00,411.9,408.15,2023-10,2638826,-0.002067874954385207,0.01172
WIPRO,411.4,2023-10-17 05:30:00,413.85,411.05,2023-10,2989694,0.0029254022428084614,0.01468
WIPRO,407.45,2023-10-18 05:30:00,413.65,407.0,2023-10,2440533,-0.009601361205639258,0.00493
WIPRO,395.3,2023-10-19 05:30:00,396.75,390.1,2023-10,12814551,-0.029819609768069633,-0.02503
WIPRO,391.85,2023-10-20 05:30:00,396.05,391.0,2023-10,4214668,-0.008727548697191945,-0.03354
WIPRO,383.15,2023-10-23 05:30:00,393.0,382.2,2023-10,4418913,-0.02220237335715214,-0.055
WIPRO,381.85,2023-10-25 05:30:00,387.7,381.1,2023-10,3339147,-0.003392927052068284,-0.05821
WIPRO,378.25,2023-10-26 05:30:00,380.55,375.05,2023-10,5497791,-0.009427785779756559,-0.06709
WIPRO,382.35,2023-10-27 05:30:00,384.35,379.05,2023-10,3101406,0.010839391936549925,-0.05697
WIPRO,382.0,2023-10-30 05:30:00,384.35,380.4,2023-10,2344372,-0.0009153916568589437,-0.05784
WIPRO,381.8,2023-10-31 05:30:00,384.1,379.15,2023-10,3076768,-0.0005235602094240122,-0.05833
WIPRO,380.95,2023-11-01 05:30:00,385.55,380.15,2023-11,2120976,-0.002226296490309143,-0.06043
WIPRO,383.65,2023-11-02 05:30:00,385.15,382.1,2023-11,2371365,0.00708754429715186,-0.05377
WIPRO,383.55,2023-11-03 05:30:00,386.7,382.65,2023-11,2645764,-0.0002606542421477176,-0.05401
WIPRO,384.65,2023-11-06 05:30:00,386.45,383.0,2023-11,2469968,0.0028679442054491133,-0.0513
